% Model,System_batch.mph
% Version,COMSOL 6.0.0.318
% Date,"Sep 29 2023, 10:36"
% Table,Generator_export - 
% Time,Q,DH,QHD,QHH,prod,Qm,DHp,QH,D,QD
4.284717177141973E-8,0.9957349333180061,0.995734479313366,4.5401398995849655E-7,4.540081778232509E-7,4.540144053272235E-7,0.004010856067319754,0.004010856067319754,2.5330258896903544E-4,2.5330257426037234E-4,3.108676264759955E-12
4.30537105642969E-8,0.9957144696950211,0.9957140020900216,4.676145957096494E-7,4.676085922386798E-7,4.676150125248488E-7,0.004027982272857852,0.004027982272857852,2.5661280534079576E-4,2.5661279019771567E-4,3.1616419587305983E-12
4.3239595477886356E-8,0.9956960534042953,0.9956955732709649,4.801431536336969E-7,4.801369733585741E-7,4.801435717275409E-7,0.004043372085890371,0.004043372085890371,2.596142260447105E-4,2.5961421050093816E-4,3.2098703568312013E-12
4.342548039147581E-8,0.99567763808901,0.9956771451338184,4.929652469430772E-7,4.929588851544232E-7,4.92965666291496E-7,0.004058738074910637,0.004058738074910637,2.6263790825403613E-4,2.626378922996373E-4,3.258662236631286E-12
4.3592776813706324E-8,0.9956610650995465,0.9956605603627016,5.047471136696346E-7,5.047405846245781E-7,5.047475341269857E-7,0.004072548126416177,0.004072548126416177,2.653772825996257E-4,2.653772662674554E-4,3.303034421535253E-12
4.3760073235936835E-8,0.9956444929084782,0.995643976143868,5.167750964691253E-7,5.167683961924378E-7,5.167755180145332E-7,0.004086338802019947,0.004086338802019947,2.681347422233647E-4,2.681347255050517E-4,3.3478691786509134E-12
4.3910640015944296E-8,0.9956295785863464,0.9956290507942439,5.278027881439459E-7,5.277959304788974E-7,5.278032106511635E-7,0.004098734686047899,0.004098734686047899,2.7063112505927356E-4,2.706311079865302E-4,3.3885973914564283E-12
4.406120679595176E-8,0.9956146649171053,0.9956141258919226,5.390360715973585E-7,5.390290532031721E-7,5.39036495048412E-7,0.0041111148193114415,0.0041111148193114415,2.7314219458814137E-4,2.731421771539428E-4,3.4297047876481854E-12
4.419671689795847E-8,0.9956012431459627,0.9956006938421315,5.4931490617028E-7,5.493077403688509E-7,5.493153304558181E-7,0.004122244159908377,0.004122244159908377,2.7541406757342914E-4,2.7541404980814E-4,3.467010226476965E-12
4.4332226999965185E-8,0.9955878219082737,0.9955872621546215,5.597649163608523E-7,5.597576003555498E-7,5.597653414654989E-7,0.004133360701950141,0.004133360701950141,2.776978633115469E-4,2.776978452092943E-4,3.5046260939546858E-12
4.44677371019719E-8,0.9955744012063404,0.9955738308293756,5.703884213818202E-7,5.703809523297894E-7,5.703888472897816E-7,0.004144464426358952,0.004144464426358952,2.799935939397319E-4,2.799935754945495E-4,3.5425540386709586E-12
4.4738757305985325E-8,0.995547561061097,0.9955469690241092,5.920488366359771E-7,5.920410547105795E-7,5.920492641121833E-7,0.0041666418789287635,0.0041666418789287635,2.8461296601636266E-4,2.846129468711041E-4,3.6191432438797574E-12
4.500977750999875E-8,0.9955207229635398,0.995520108587232,6.14388561471612E-7,6.143804554965774E-7,6.143889904520432E-7,0.004188770687399964,0.004188770687399964,2.8927757589602765E-4,2.8927755602727414E-4,3.696926591165879E-12
4.528079771401218E-8,0.9954938870108803,0.9954932495722869,6.374512646877946E-7,6.374428227123603E-7,6.374516951026879E-7,0.004210848808632269,0.004210848808632269,2.9398928217115665E-4,2.9398926155389376E-4,3.775962349105643E-12
4.582283812203903E-8,0.995440221749056,0.9954395358790328,6.858835725776069E-7,6.858744200787755E-7,6.858840056285088E-7,0.004254849686653081,0.004254849686653081,3.0355680190188877E-4,3.0355677970713893E-4,3.937922009055053E-12
4.6364878530065886E-8,0.9953865654542315,0.9953858279672212,7.375014966102209E-7,7.374915799641461E-7,7.375019319636443E-7,0.004298642659496409,0.004298642659496409,3.133168886264131E-4,3.1331686474233986E-4,4.1051370439629305E-12
4.7448959346119586E-8,0.9952792806924107,0.9952784295139238,8.511950429044172E-7,8.511834180593448E-7,8.51195481663355E-7,0.004385598103632747,0.004385598103632747,3.33418820565039E-4,3.334187929285567E-4,4.455917552469492E-12
4.8363108232677895E-8,0.9951888424998169,0.9951878839871858,9.585311494636286E-7,9.58517884346444E-7,9.585315896967252E-7,0.004458266279188929,0.004458266279188929,3.50974166707639E-4,3.5097413549275264E-4,4.76902482618909E-12
4.9277257119236204E-8,0.9950984322302557,0.9950973549220141,1.0773289430505241E-6,1.077313833740764E-6,1.0773293832265851E-6,0.004530328309231086,0.004530328309231086,3.6908481214502933E-4,3.690847769305605E-4,5.098530370716797E-12
5.009999111713868E-8,0.9950170876153562,0.9950158928343883,1.1948038390780446E-6,1.1947868789302393E-6,1.194804277679133E-6,0.004594662325616559,0.004594662325616559,3.858604623987989E-4,3.8586042319118985E-4,5.409517891868642E-12
5.084045171525091E-8,0.9949438980355957,0.9949425883497951,1.3097108058340692E-6,1.3096920110600191E-6,1.3097112415917145E-6,0.004652137618315766,0.004652137618315766,4.0134493706179777E-4,4.0134489391345187E-4,5.701424094733369E-12
5.158091231336314E-8,0.9948707285616445,0.9948692946565235,1.4339324459490013E-6,1.433911642401909E-6,1.4339328773085168E-6,0.004709207630600673,0.004709207630600673,4.171959571456118E-4,4.17195909699651E-4,6.005023003363499E-12
5.224732685166415E-8,0.9948048936922603,0.9948033395567327,1.5541651104050615E-6,1.5541423391318505E-6,1.5541655363105521E-6,0.004760222531509032,0.004760222531509032,4.3177546197019367E-4,4.317754103294884E-4,6.288482892148014E-12
5.2847099936135055E-8,0.994745656993333,0.9947439874365447,1.6695885499594026E-6,1.669563869209915E-6,1.6695889696004002E-6,0.004805852781827064,0.004805852781827064,4.451510653403485E-4,4.451510096415833E-4,6.55205207902387E-12
5.344687302060596E-8,0.9946864345750602,0.9946846423910014,1.7922181478983018E-6,1.7921914175023753E-6,1.7922185598413854E-6,0.004851213721114784,0.004851213721114784,4.5876728690137647E-4,4.587672268589016E-4,6.823796873916166E-12
5.3986668796629774E-8,0.9946331468859696,0.9946312378974844,1.9090248030120987E-6,1.908996101292623E-6,1.9090252066831054E-6,0.00489180758590805,0.00489180758590805,4.712274996024385E-4,4.712274353929186E-4,7.075477171207891E-12
5.452646457265359E-8,0.9945798713127283,0.9945778391317872,2.0322196215400366E-6,2.0321888214253954E-6,2.0322200155375073E-6,0.004932181943316178,0.004932181943316178,4.8388232763283665E-4,4.838822589980752E-4,7.334013237139197E-12
5.501228077107502E-8,0.9945319338704343,0.9945297851389404,2.148772420419456E-6,2.1487396177093523E-6,2.148772804411149E-6,0.0049683307151885325,0.0049683307151885325,4.954378942157921E-4,4.954378213668831E-4,7.572644894172861E-12
5.549809696949646E-8,0.9944840066655902,0.9944817357836592,2.2709252231123677E-6,2.2708903041641293E-6,2.270925595758271E-6,0.005004300791552475,0.005004300791552475,5.07150718957396E-4,5.071506416640097E-4,7.81700030556531E-12
5.598391316791789E-8,0.9944360899088845,0.9944336910649876,2.3988896794091753E-6,2.398852525152637E-6,2.3988900392601285E-6,0.0050400917784573845,0.0050400917784573845,5.190205618258742E-4,5.190204798469629E-4,8.067161105815696E-12
5.642114774649718E-8,0.9943929739290212,0.9943904547817326,2.519195423410351E-6,2.5191561512009165E-6,2.519195770416069E-6,0.005072150254443153,0.005072150254443153,5.298374560989821E-4,5.298373696883795E-4,8.297333015932166E-12
5.685838232507647E-8,0.9943498667438557,0.9943472222526567,2.6445417961924423E-6,2.644500300907843E-6,2.644542128996251E-6,0.005104063114924294,0.005104063114924294,5.407810900214525E-4,5.407809989668004E-4,8.532331447529637E-12
5.729561690365576E-8,0.9943067685179808,0.9943039934770419,2.77509411265887E-6,2.7750502848022215E-6,2.7750944298077043E-6,0.005135830115941487,0.005135830115941487,5.518512123347194E-4,5.518511164150437E-4,8.772215989877168E-12
5.773285148223505E-8,0.9942636794186427,0.9942607684541671,2.9110203450087255E-6,2.9109740705925765E-6,2.911020644947681E-6,0.005167451028448037,0.005167451028448037,5.630475488990962E-4,5.630474478845862E-4,9.017045916837212E-12
5.817008606081434E-8,0.9942205996163392,0.9942175471833049,3.0524917230369956E-6,3.0524428834502505E-6,3.0524920041032828E-6,0.0051989256371048,0.0051989256371048,5.74369802100752E-4,5.74369695752506E-4,9.26688040509023E-12
5.8607320639393626E-8,0.994177529285031,0.9941743296637214,3.1996829460744493E-6,3.1996314179418225E-6,3.199683206490942E-6,0.005230253739816606,0.005230253739816606,5.858176506804974E-4,5.858175387502553E-4,9.521778602037645E-12
5.9044555217972915E-8,0.9941344686022217,0.9941311158946748,3.3527722644488746E-6,3.352717919486029E-6,3.3527725023172963E-6,0.005261435147515144,0.005261435147515144,5.973907497069719E-4,5.973906319368382E-4,9.781799643638235E-12
5.9481789796552204E-8,0.9940914177489955,0.9940879058754164,3.5119415164203E-6,3.511884221285726E-6,3.5119417297140605E-6,0.005292469684023063,0.005292469684023063,6.090887306019944E-4,6.090886067241568E-4,1.0047002655585576E-11
5.991902437513149E-8,0.9940483769100373,0.9940446996051888,3.6773761492247555E-6,3.6773157653687345E-6,3.6773763357814344E-6,0.005323357185944154,0.005323357185944154,6.20911201187434E-4,6.209110709238762E-4,1.0317446748959464E-11
6.035625895371079E-8,0.9940053462736479,0.9940014970832275,3.849265233752591E-6,3.849201617263348E-6,3.849265391266048E-6,0.005354097502561273,0.005354097502561273,6.328577457434332E-4,6.328576088056434E-4,1.0593191014061887E-11
6.079349353229008E-8,0.9939623260317543,0.9939582983087589,4.027801476017402E-6,4.027734477464515E-6,4.027801602029514E-6,0.005384690495735866,0.005384690495735866,6.449279250746374E-4,6.449277811633116E-4,1.0874294513674791E-11
6.123072811086938E-8,0.9939193163799198,0.993915103281002,4.213181226448617E-6,4.213110690723671E-6,4.21318131834062E-6,0.005415136039807109,0.005415136039807109,6.571212765833374E-4,6.571211253880776E-4,1.1160816276152893E-11
6.166796268944868E-8,0.9938763175173513,0.9938719119991669,4.405604487333581E-6,4.405530253488093E-6,4.405604542316997E-6,0.0054454340214900275,0.0054454340214900275,6.694373143491887E-4,6.694371555481973E-4,1.1452815288490061E-11
6.206147381017003E-8,0.9938376279245937,0.9938330430476536,4.584966985188603E-6,4.584889280731514E-6,4.58496700443022E-6,0.005472575959684238,0.005472575959684238,6.806262471159533E-4,6.80626081185516E-4,1.1720343600057916E-11
6.245498493089139E-8,0.9937989473838594,0.99379417712911,4.770348680724615E-6,4.7702673660002536E-6,4.7703486616854005E-6,0.005499598225564496,0.005499598225564496,6.919137619132835E-4,6.919135885746399E-4,1.1992398627259374E-11
6.284849605161274E-8,0.9937602760491496,0.9937553142429374,4.961904178833512E-6,4.961819109547813E-6,4.961904118829211E-6,0.0055265007611511666,0.0055265007611511666,7.032994535140864E-4,7.032992724794467E-4,1.2269023613076482E-11
