% Model,System_batch.mph
% Version,COMSOL 6.0.0.318
"% Date,""Jul 11 2023, 14:08"""
% Table,Evaluation Group 2 - 
% Ke,KH,Kr,Kdisp,KqH,Ks,Kd,Kc,Kp,KrD,Kph,light,Time,Q,DH,QHD,QHH,prod,Qm,DHp,QH,D,QD
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.138101278094959E-7,0.995151493147968,0.9948879827046041,2.6355326199733835E-4,2.6351079772210403E-4,2.635463053919157E-4,0.002913356587341723,0.002913356587341722,0.0014080858506369468,0.0014080144963399474,3.4920769984774926E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.240838988793425E-7,0.9950705140475977,0.9947862750837058,2.8428630715194366E-4,2.8423934128369053E-4,2.8427826497860243E-4,0.00292745459093657,0.0029274545909365682,0.0014335053356655488,0.0014334271265942992,3.7213622050806724E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.343576699491891E-7,0.9949902814369979,0.9946845860994055,3.057475127350059E-4,3.056957389154824E-4,3.057382622018767E-4,0.002940710186145197,0.002940710186145196,0.0014575647239134584,0.0014574792920374422,3.959624769853177E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.436040639120511E-7,0.9949186883227091,0.9945930818856922,3.25663228837954E-4,3.25606860652839E-4,3.2565277959055087E-4,0.0029519563563053203,0.0029519563563053185,0.0014780848078919798,0.001477992562679721,4.181800789230377E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.52850457874913E-7,0.9948476564352791,0.9945015926486457,3.461254539100716E-4,3.460642333212258E-4,3.461136944268004E-4,0.002962589567639057,0.002962589567639056,0.0014975638631989753,0.001497464510878056,4.411369959386908E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.62096851837775E-7,0.9947771644251245,0.9944101183345087,3.671128963026842E-4,3.6704656110059247E-4,3.6709970935831223E-4,0.0029726407914001823,0.002972640791400181,0.0015160348556268008,0.0015159281054839967,4.64838558670073E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.713432458006369E-7,0.9947071909310076,0.9943186588918741,3.8860424999935755E-4,3.885325341648006E-4,3.8858951276386316E-4,0.0029821394562346646,0.0029821394562346646,0.001533532333605252,0.0015334178985124964,4.892897802632209E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.805896397634989E-7,0.994637714642683,0.9942272142714365,4.105782575503929E-4,4.1050089157911094E-4,4.1056184167880894E-4,0.0029911136342081154,0.002991113634208114,0.0015500920536934977,0.0015499696505777987,5.144953960122421E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.898360337263608E-7,0.9945687144002402,0.9941357844258988,4.3301380952937956E-4,4.329305207345452E-4,4.3299558125660777E-4,0.002999590126839851,0.0029995901268398493,0.0015657505963135013,0.0015656199465725147,5.40459884365555E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.990824276892228E-7,0.9945001692954061,0.9940443693099259,4.5589004589954347E-4,4.558005586968205E-4,4.5586986614372496E-4,0.003007594518235626,0.003007594518235624,0.0015805450086000194,0.001580405838465669,5.671874813934481E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.083288216520847E-7,0.9944320587636385,0.9939529688801071,4.7918644816242513E-4,4.7909048433911167E-4,4.791641726370332E-4,0.003015151217837231,0.0030151512178372285,0.001594512485274098,0.0015943645261269068,5.946821928125892E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.175752156149467E-7,0.9943643626638747,0.9938615830949169,5.02882919158647E-4,5.027801981274018E-4,5.028583984923829E-4,0.0030222835001991683,0.0030222835001991652,0.0016076900895338885,0.0016075330781708584,6.229478049512185E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.268216095778086E-7,0.9942970613455491,0.9937702119146723,5.269598501453295E-4,5.268500891827449E-4,5.269329300086033E-4,0.0030290135440994197,0.003029013544099417,0.001620114512785543,0.0016199481916445478,6.519878951206182E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.360680035406706E-7,0.9942301357034714,0.9936788553014833,5.513981757387629E-4,5.512810902090508E-4,5.513686969755037E-4,0.0030353624715839097,0.003035362471583907,0.001631821870849006,0.0016316459881927426,6.818058415486781E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.453143975035325E-7,0.9941635672214977,0.9935875132192004,5.761794176499773E-4,5.76054721214104E-4,5.761472164135795E-4,0.0030413503869881025,0.0030413503869881,0.0016428475338115891,0.001642661843874144,7.124048329278312E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.545607914663945E-7,0.9940973380060235,0.9934961856333586,6.012857182513154E-4,6.011531230619961E-4,6.012506261436096E-4,0.003046996415811945,0.0030469964158119436,0.0016532259865378357,0.0016530302496369127,7.437878775958287E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.638071854292564E-7,0.994031430810368,0.9934048725111184,6.266998650311873E-4,6.265590819142256E-4,6.266617092434331E-4,0.0030523187432872105,0.0030523187432872087,0.0016629907168240904,0.0016627846994418745,7.759578123575317E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.730535793921184E-7,0.9939658290510774,0.9933135738212051,6.524053069715143E-4,6.522560455940142E-4,6.523639104265045E-4,0.0030573346524814735,0.0030573346524814713,0.0016721741282491654,0.0016719576030847028,8.0891731095338E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.822999733549803E-7,0.993900516817139,0.9932222895338468,6.783861638375878E-4,6.782281328636148E-4,6.783413453320589E-4,0.0030620605618006747,0.0030620605618006734,0.0016808074748891736,0.0016805802208850285,8.426688921801958E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,6.915463673178423E-7,0.993835478873043,0.9931310196207122,7.04627229312425E-4,7.044601365467129E-4,7.045788036590611E-4,0.003066512061772613,0.0030665120617726117,0.0016889208152173162,0.0016886826175631217,8.772149276706762E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,7.007927612807042E-7,0.9937707006565533,0.9930397640548477,7.311139688423863E-4,7.309375213627028E-4,7.310617470107948E-4,0.0030707039510133763,0.003070703951013375,0.0016965429826857263,0.0016962936328011042,9.12557649338748E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,7.100391552435662E-7,0.9937061682719888,0.9929485228106162,7.578325129913854E-4,7.576464172701739E-4,7.577763022475071E-4,0.0030746502712968183,0.003074650271296817,0.001703701570676834,0.0017034408661759926,9.48699156498708E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,7.192855492064281E-7,0.9936418684797421,0.9928572958636347,7.847696470300256E-4,7.845736090459416E-4,7.847092510735203E-4,0.0030783643416633995,0.0030783643416633986,0.0017104229297085541,0.0017101506743487135,9.856414226666996E-10
